x Начало Утверждение_НР Утверждение_К Проверка_секретарём Утверждение_ЗК Рассмотрение_в_отделе Утверждён
1 1.00 0.00 0.00 0.00 0.00 0.00 0.00
2 0.00 1.00 0.00 0.00 0.00 0.00 0.00
3 0.67 0.00 0.33 0.00 0.00 0.00 0.00
4 0.17 0.66 0.00 0.17 0.00 0.00 0.00
5 0.49 0.17 0.22 0.00 0.12 0.00 0.00
6 0.24 0.48 0.05 0.10 0.00 0.09 0.04
7 0.48 0.25 0.16 0.03 0.08 0.00 0.00
8 0.28 0.44 0.09 0.09 0.03 0.06 0.01
9 0.40 0.28 0.15 0.05 0.06 0.02 0.04
10 0.30 0.40 0.10 0.08 0.04 0.06 0.02
11 0.38 0.30 0.15 0.05 0.06 0.03 0.03
12 0.32 0.39 0.11 0.07 0.04 0.05 0.02
13 0.36 0.32 0.13 0.06 0.06 0.04 0.03
14 0.33 0.38 0.11 0.07 0.04 0.05 0.02
15 0.34 0.33 0.13 0.08 0.05 0.04 0.03
16 0.34 0.35 0.11 0.07 0.05 0.06 0.02
17 0.35 0.33 0.12 0.07 0.05 0.05 0.03
18 0.35 0.34 0.12 0.06 0.05 0.04 0.04
19 0.34 0.35 0.11 0.06 0.05 0.04 0.05
20 0.34 0.34 0.11 0.06 0.05 0.04 0.06

